subset,model,actual_persona,predicted_z_euclidean,distance_z_euclidean,margin_z_euclidean,correct_z_euclidean,predicted_cosine,distance_cosine,margin_cosine,correct_cosine,predicted_mahalanobis,distance_mahalanobis,margin_mahalanobis,correct_mahalanobis
all,Claude-Opus-4.6,ENFP,ENFP,0.4006665243182406,0.3600949672938741,True,ENFP,0.06888246663719111,0.20421299694779205,True,ENFP,0.6525621216225364,0.169787554233909,True
all,Claude-Opus-4.6,ENTP,ENTP,0.3488319444677902,0.23885417197752457,True,ENTP,0.04120971201043444,0.07064034196306546,True,ENTP,0.7691225669801152,0.15813695481065337,True
all,Claude-Opus-4.6,ESTJ,ESTJ,0.4589568620101382,0.15009847105410634,True,ESTJ,0.0993982434845071,0.08297573621496446,True,ESTJ,0.829459499582506,0.2559730005266867,True
all,Claude-Opus-4.6,ESFJ,ESFJ,0.4695437535347362,0.18580028161014528,True,ESFJ,0.15901392618070675,0.16271700490682983,True,ESFJ,0.6913748864606551,0.306367508941345,True
all,Claude-Opus-4.6,ENFJ,ENFJ,0.5033546014914339,0.27589930166304766,True,ENFJ,0.18634508358730184,0.1512029502534985,True,ENFJ,0.8250273329841606,0.14600927312405154,True
all,Claude-Opus-4.6,ENTJ,ENTJ,0.39603256817443366,0.38976526904440856,True,ENTJ,0.08084339778021632,0.19316452942408602,True,ENTJ,0.6620143272529071,0.14894440747292015,True
all,Claude-Sonnet-4.6,ISTJ,ISTJ,0.17964399949821946,0.5515989934138581,True,ISTJ,0.017785260705605044,0.28914441632125987,True,ISTJ,0.377872908870304,0.38787091924877803,True
all,Claude-Sonnet-4.6,ISFJ,ISFJ,0.2848955072928643,0.44416524245119204,True,ISFJ,0.04440086443563851,0.2457477993992523,True,ISFJ,0.6238409320695809,0.27610263509373456,True
all,Claude-Sonnet-4.6,INFJ,INFJ,0.23701616780137846,0.3915297934043659,True,INFJ,0.03237129318702181,0.203256374610717,True,INFJ,0.4537986031519344,0.405600964065751,True
all,Claude-Sonnet-4.6,INTJ,INTJ,0.3767005892655923,0.2669398497896966,True,INTJ,0.1077514120916917,0.15223814197859353,True,INTJ,0.5534743990609345,0.23376532405346884,True
all,Claude-Sonnet-4.6,ISTP,ISTP,0.3049022498635236,0.23994407920878907,True,ISTP,0.07822261780824102,0.1409363916294435,True,ISTP,0.4394631008108572,0.3242734950568677,True
all,Claude-Sonnet-4.6,ISFP,ISFP,0.21994660304080393,0.3481088142776285,True,ISFP,0.030073847492446126,0.0975965617108363,True,ISFP,0.4913177685274234,0.2986262828149801,True
all,Claude-Sonnet-4.6,INFP,INFP,0.19270223899229155,0.26435303388954107,True,INFP,0.01441405887276237,0.06835608241760005,True,INFP,0.4449285836491985,0.22048428991874736,True
